id_reseña,Fecha,Título,Contenido,Empresa,Calificación
AbbeygateSegurosEspaña_N38,2025-05-30 13:19:45+00:00,no es una compañía de seguros,"no es una compañía de seguros, son corredores de seguros no equivocarse, trabajan con todas las compañías.",Abbeygate Seguros España,1
AbbeygateSegurosEspaña_N37,2025-04-27 01:02:05+00:00,Exelente una empresa es muy buena de…,Exelente una empresa es muy buena de fiar y muy confiable me gusta,Abbeygate Seguros España,5
AbbeygateSegurosEspaña_N36,2025-02-07 22:56:38+00:00,Exelente cumple muy bien su trabajo lo…,"Exelente cumple muy bien su trabajo lo recomiendo mucho, cuando me lo recomendaron no crei que fuera así. Exelente 💯",Abbeygate Seguros España,5
AbbeygateSegurosEspaña_N35,2025-01-03 13:51:05+00:00,me lo recomendó un compañero y todo…,me lo recomendó un compañero y todo correcto,Abbeygate Seguros España,5
AbbeygateSegurosEspaña_N34,2024-12-03 21:27:44+00:00,He tenido una excelente experiencia con…,"He tenido una excelente experiencia con Abbeygate Seguros España. El servicio al cliente es impecable, especialmente gracias a Alina y Elena, quienes resolvieron mis reclamaciones de manera rápida y profesional. Fulvia también demostró ser muy eficiente y servicial. Han mantenido una comunicación constante y han explicado cada paso claramente, lo cual me dio tranquilidad. Sin duda, recomiendo Abbeygate por su atención y efectividad en el manejo de reclamaciones. ¡Gracias por el gran servicio!",Abbeygate Seguros España,4
AbbeygateSegurosEspaña_N33,2024-11-29 15:09:09+00:00,Cambie el seguro de mi coche con ellos…,Cambie el seguro de mi coche con ellos y la cuota me salió mas baja de lo que encontré en internet. Noviembre 2024: El coche a poco tiempo de que lo compre se me rompio un tubo de agua Y dejo de funcionar. Gracias a ELENA por solucionar el tema del seguro y enviar una grua! Estupendo equipo!!,Abbeygate Seguros España,5
AbbeygateSegurosEspaña_N32,2024-11-20 10:38:11+00:00,NADA SERIOS Y NADA FIABLES,"Tengan mucho cuidado y no contraten nada con SEGUROS ABBEYGATE ESPAÑA, porque se arrepetirán. Me dieron un presupuesto y cuando fui a contratarlo me subieron la póliza en menos de 24 horas, es decir, ""donde dije digo ayer ahora digo Diego"" y encima con una cantidad de mentiras para intentar justificarse y engañarme, y que después investigué por mi cuenta contactando a quien ellos decían que eran responsables de dicha subida, y comprobé que todo era falso, con una actitud mezquina, ruin e impropia de un impresentable, mal educado y prepotente de un tal Francisco Javier Rodríguez, que dijo ser el Director Técnico de la Empresa, y negandose a facilitarme el email del Director Jefe o similar para ponerle en su conocimiento los hechos aqui denunciados. Triste, lamentable en incomprensible que este tipo de ""personajes"" tengan un cargo de responsabilidad en dicha Empresa, que con actitudes como esa lo único que consiguen es desacreditar a la Aseguradora y que los actuales y futuros clientes pierdan su confianza en ella.",Abbeygate Seguros España,1
AbbeygateSegurosEspaña_N31,2024-09-23 20:47:57+00:00,Muy buena atención,"Muy buena atención, la verdad esperaba un poco mas pero no me quejo para el precio esta mas que bien",Abbeygate Seguros España,4
AbbeygateSegurosEspaña_N30,2024-09-04 22:53:27+00:00,No está mal,"No está mal, pero no me molestaría en usarlo nuevamente.",Abbeygate Seguros España,3
AbbeygateSegurosEspaña_N29,2024-07-07 10:51:32+00:00,Seguridad y confiabilidad a la hora de…,Seguridad y confiabilidad a la hora de usar sus servicios está es tu mejor opción y el mejor iugar,Abbeygate Seguros España,5
AbbeygateSegurosEspaña_N28,2024-06-07 13:54:22+00:00,Great service,Great service,Abbeygate Seguros España,4
