id_reseña,Fecha,Título,Contenido,Empresa,Calificación
AutobizSA_N64,2025-11-06 11:15:48+00:00,Una pérdida de tiempo monumental y una oferta insultante,"Mi experiencia con Autobiz ha sido un cúmulo de promesas incumplidas, retrasos injustificables y una práctica de “enganche” con una tasación preliminar para luego intentar comprarte el coche por una cuarta parte. Por lo que veo, operan como otros servicios del sector con exactamente el mismo modus operandi. Primero, la promesa: “tasación en 24 horas”. La realidad: tardaron 3 semanas en contactarme. Tres semanas de silencio después de pedirme un montón de fotos, documentos y datos personales. Me exigieron de todo: fotos del interior y exterior, kilómetros, número de bastidor, libro de mantenimiento, ITV, historial… Cumplí con cada paso esperando un trato profesional acorde a lo que anuncian. Cuando por fin responden, llega el golpe. La tasación preliminar automática que me dieron al inicio fue de 5.700 €. La “oferta final en firme” tras 3 semanas de espera y papeleo: 1.700 €. Repito: 1.700 €, prácticamente una cuarta parte de la cifra con la que te “enganchan” al principio. En mi opinión, esto es una estrategia de gancho y cambio: te seducen con un número bonito, te hacen invertir tiempo y ceder datos, y al final te ponen una cifra irrisoria para ver si cuela o si tienes prisa por vender. No era mi caso. Antes llevo el coche al desguace que vendérselo a ellos por ese dinero. Mi coche vale más (he tenido varias ofertas por 5.000) y, como mínimo, espero coherencia entre lo que anuncian y lo que ofrecen. Si no pueden sostener la cifra inicial, que no me hagan perder el tiempo con promesas vacías. Consejo práctico si te ves en la misma: Ejercita tu derecho RGPD y pide el borrado inmediato de todos tus datos personales, fotos y documentos que les enviaste. El contacto para solicitar el borrado GDPR está en la sección de “política de privacidad” (abajo del todo en sus comunicaciones o en sus páginas informativas). Envía una solicitud clara de supresión de datos (art. 17 RGPD) y guarda el acuse de recibo. Si no responden en un plazo razonable, insiste y, si hace falta, presenta una reclamación ante la autoridad de protección de datos. Al menos, no se quedan con tu información después de haberte hecho perder semanas. Conclusión: Servicio lento, desalineado con sus propias promesas y con una oferta insultante frente a la valoración inicial. En mi opinión, no deberían operar así. No los recomiendo en absoluto. Para mí, unos impresentables que juegan con la necesidad de la gente: te inflan al principio y te rebajan a la mínima al final. Si llegaste hasta aquí, ahórrate el disgusto.",Autobiz SA,1
AutobizSA_N63,2025-08-21 17:21:43+00:00,Contacto con Autocasion para vender el…,"Contacto con Autocasion para vender el vehículo, le pasas los datos del vehículo y los tuyos personales, te dan una valoración para seguir sacando información, le pasas datos del coche, permiso de circulación, etc y después te dicen que son de AUTOBIZ en colaboración con autocasion, que no pueden valorar tu coche. Espero que la utilizacion de mis datos no sirva para otro coche y hacer una estafa que es lo mas seguro, para mi una mafia. Mucho cuidado, he hablado con la policía y lo mejor es no dar datos por correo a nadie. Por cierto te siguen enviando correos para que vendas tu coche una tal sara que sera una maquina automatica, una vergüenza.",Autobiz SA,1
AutobizSA_N62,2025-07-08 18:48:13+00:00,Es la peor empresa de tasación de…,"Es la peor empresa de tasación de vehículos. Después de rellenar todos tus datos y subir fotos del coche que quieres tasar con el envío de un SMS que te llega al móvil, tienes que esperar un tiempo y te contactan con whattsapp y la persona te obliga volver enviar nuevamente todos tus datos y fotos, porque lo que habían recibido anteriormente no le van bien. Acabado este envío y después de varios días de solicitud por whattsapp te contacta una persona la cual te dice que tú noche en este momento no hay ninguna demanda y te da una tasación tan baja que ella mismo le da vergüenza en decirlo. Al final si quiere vender tu coche es mejor venderlo como particular directamente poniendo un anuncio y esperar a la vez de perder mucho tiempo con esta empresa y al final quedarte cabreado. Está empresa además de perder tiempo, solo quiere que le regales tu coche. Son una sin vergüenza.",Autobiz SA,1
AutobizSA_N61,2025-07-08 15:01:02+00:00,Este sitio no es muy creíble y roza la…,"Este sitio no es muy creíble y roza la estafa. Te engañan con un precio basado en un cálculo algorítmico de los precios del mercado. Tras enviar un montón de fotos y responder un cuestionario, te ofrecen una oferta basada en la de un socio, con un descuento del 30 %. Una completa pérdida de tiempo y un enfoque necio y poco profesional.",Autobiz SA,1
AutobizSA_N60,2025-02-22 07:24:55+00:00,Impresentable,"Tengo un Lexus UX con un año y cuatro meses en un estado impecable y con solo 10400km. Te dan una tasación inicial de 32450€ y después de hacerte perder el tiempo en llamadas, mandando multitudes fotos...te lo valoran en 24000€. Eso le llamo yo tomarte el pelo. Nada, nada recomendables.",Autobiz SA,1.0
AutobizSA_N59,2024-12-23 17:00:59+00:00,Muy mala experiencia,"Muy mala experiencia. Previamente te valoran a un precio que después de mandarles un sinfín de fotos,ni de lejos se aproxima. Te contestan con mucho retraso.Es un engaño",Autobiz SA,1.0
AutobizSA_N58,2024-09-01 15:18:58+00:00,DEPLORABLES,"Experiencia nefasta, me dan una valoración on line muy elevada, me piden mil fotos, y me quedo a la espera de un valor definitivo, he tenido que vender el coche por otro lado No los recomiendo en absoluto",Autobiz SA,1.0
AutobizSA_N57,2024-08-16 19:53:29+00:00,Son muy serios.Les tienen que enviar…,"Son muy serios.Les tienen que enviar documentación y bastantes fotos, pero a mi me parece logico ya que comprar un coche es un juego.A mi me hicieron una tasación muy buena, acorde al valor real del coche.De hecho son los unicos compraventas de coches que me parecen honrados y se lo he dicho a ellos.No soy nadie pagado por ellos ( que ya se sabe que cuando das una opinión como esta la gente lo piensa).Por cierto quisiera destacar el trato de Cristhian y su comprensión hacia lo que le exponia, un 10 para él.",Autobiz SA,5.0
AutobizSA_N56,2024-06-11 19:46:57+00:00,Me han hecho perder la tarde.,"Me han hecho perder la tarde. Te dan una tasación 6000 euros por encima de lo que ofrece el concesionario, estando el coche en perfecto estado. Al del concesionario le ha dado hasta vergüenza decirme el precio ya que el coche dicho por el está en el mejor estado que puede estar, pero la web de Autobiz sobre estima el precio. Un desastre, 0 recomendado.",Autobiz SA,1.0
AutobizSA_N55,2024-06-04 19:45:07+00:00,No compréis al portal Autobiz.com,"Autobiz.com, no vayáis , es perder el tiempo. En mi caso obtuve una valoración de mi vehículo. Te ofrecen un precio on-line a partir de un cuestionario. En mi caso me ofrecen 12.750.-€ por un Ssangyong Tivoli Gran Limited edition que lleva todos los extras imaginables. Los de Autobiz.com para confirmar la tasación te hacen desplazar a Garageclub y formalizar la compra al momento , te desplazas a Las Franquesas del Valles . El vehiculo impecable, en perfecto estado, com mil extras, mantenimiento siempre al dia en concesionario oficial, interior y exterior perfecto estado ( esto es lo que dice el tasador del Garageclub después de ver el vehiculo ) Esperas a que el “jefe” confirme el precio. Viene y me ofrece 8.500.- €, es decir “me quitan” 4.000.-€ . No confiéis en compramoscoches.com, ni autobiz.com, ni en Garageclub porque son lo mismo y te darán mucho menos de lo que te ofrecen on-line que solo sirve para captar clientes.",Autobiz SA,1.0
